source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,impact_direction,source,corr_train,n_train
KOSPI,010140,KOSPI,042660,PARTNER,POSITIVE,price,0.3587,1415
KOSPI,005930,KOSPI,017670,PARTNER,NEGATIVE,price,-0.0527,1415
KOSPI,005930,NASDAQ,INTC,PARTNER,POSITIVE,price,0.038,1413
KOSPI,051910,KOSPI,096770,PARTNER,POSITIVE,price,0.1764,1415
KOSPI,000660,KOSPI,005930,COMPETE,POSITIVE,price,0.5684,1415
KOSPI,030200,KOSPI,032640,PARTNER,POSITIVE,price,0.4401,1415
KOSPI,000660,NASDAQ,INTC,PARTNER,POSITIVE,price,0.0391,1413
KOSPI,030200,KOSPI,032640,COMPETE,POSITIVE,price,0.4401,1415
KOSPI,005930,KOSPI,032640,PARTNER,NEGATIVE,price,-0.0739,1415
KOSPI,005930,KOSPI,066570,PARTNER,POSITIVE,price,0.0876,1415
KOSPI,066570,NASDAQ,AAPL,PARTNER,POSITIVE,price,0.079,1413
KOSPI,005930,KOSPI,030200,PARTNER,NEGATIVE,price,-0.1435,1415
