source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,window_type,score,impact_direction,confidence,evidence_count,formula_version,as_of_at
KOSPI,032640,NASDAQ,QCOM,PARTNER,30D,7.2375,POSITIVE,0.62,10,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,064400,NASDAQ,AMZN,PARTNER,30D,5.8875,POSITIVE,0.7,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,006800,KOSPI,017670,PARTNER,30D,11.6025,POSITIVE,0.633,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005930,NASDAQ,SNPS,PARTNER,30D,9.3525,POSITIVE,0.667,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,051910,KOSPI,090430,PARTNER,30D,16.895,POSITIVE,0.676,17,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,079550,KOSPI,272210,PARTNER,30D,29.525,POSITIVE,0.8,19,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,NASDAQ,MSFT,PARTNER,30D,28.1325,POSITIVE,0.622,20,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005930,NASDAQ,AVGO,COMPETE,30D,20.985,POSITIVE,0.6,18,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,035420,NASDAQ,QCOM,PARTNER,30D,11.835,POSITIVE,0.657,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,KOSPI,035720,PARTNER,30D,11.145,POSITIVE,0.736,77,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,012450,KOSPI,373220,PARTNER,30D,13.35,POSITIVE,0.709,11,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,086280,KOSPI,373220,PARTNER,30D,10.965,POSITIVE,0.8,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005930,KOSPI,029780,PARTNER,30D,9.995,NEGATIVE,0.636,25,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010950,KOSPI,055550,PARTNER,30D,11.4025,POSITIVE,0.711,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,KOSPI,377300,PARTNER,30D,10.9725,NEGATIVE,0.667,8,rel-v0.2-typed,2026-09-14T00:00:00Z
